Club de playa,Hora de entrada,Hora de salida ,Descripción ,Lugar de embarque y desembarque ,costo del muelle ,Costo,Precio Dollar ,Valor COP,Incluye ,# del Operador,Datos que se solicitan Al momento de reservar,Acepta Niños
,7:20am,3pm,,En el muelle la bodeguita puerta 3,40000,390000,111, $404.227,"Traslado en lancha deportiva, coctel de bienvenida,dj en vivo, cama playa, almuerzo 3 opciones",3023236021,"❇ Titular de Reserva: 
❇ Tipo de Identificación: 
❇ Numero de Identificación: 
❇ Nombre del Hotel:
❇ Fecha del tour: 
❇ Numero de personas: 
❇ E-mail: 
❇ Numero de contacto:", Solo Personar mayores de 18
Pao pao ,7:20am,3pm,"🌴 PAO PAO – HOTEL & RESTAURANTE  
Islas del Rosario

---

### ✨ INCLUYE

🚤 Transporte en lancha rápida (ida y vuelta)  
🍹 Cóctel de bienvenida  
🍽️ 5 opciones de almuerzo  
🌞 Asoleadora  

💰 $390.000 COP por persona

---

### 📍 PUNTO DE ENCUENTRO

📌 Muelle La Bodeguita – Puerta #3  
🕢 Hora: 7:30 a.m.  
⏰ La reserva se garantiza hasta las 8:20 a.m.  

👤 A partir de 12 años  
⚠️ No incluye tasa portuaria ni seguro

---

### 🏝️ ACTIVIDADES INCLUIDAS

🕊️ Tour de fragatas  
🧘 Wellness diario  
🎯 Campeonato de cornhole  
🏊 Piscina de agua dulce  
🤿 Snorkel guiado  
🚤 Traslado al Oceana",En el muelle la bodeguita puerta 3,40000,390000,111, $404.227,"Traslado en lancha deportiva, coctel de bienvenida, dj en vivo,asoleadora con parasol, almuerzo 5 opciones.",3023236021,❇ Titular de Reserva:,Mayores a Doce
Mangata ,7:30am,3pm,"*💧MANGATA BEACH CLUB*

*Valor del pasadía para pasajeros a partir de 4 años*
$399.000  

*INCLUYE*

🚤 Transporte en lanchas deportivas *(ida y vuelta)* desde Marina privada *TODOMAR* 

 🥂 Copa de champaña de bienvenida o jugo natural

🏖️ Acomodación en cama, sala o silla asoleadora

🏝️Tour panorámico por las islas

🛩️Actividad de *SNORKEL* para ver la *AVIONETA UNDIDA DE PABLO ESCOBAR* 🛩️  entre 10:30am y  11:00am *(aproximadamente)* 

*🍸🍹2X1 TODO EL DÍA🍸🍹* En los siguientes cócteles: *(Cuba Libre, Margarita, mojito, Caipiroska)*

*🍺🍻CUBETAZO DE CERVEZA 🍻🍺* *TODO EL DÍA* en cervezas nacionales e Internacionales
 *PAGAN 5 Y LA 6ta ES GRATIS*

🛖Restaurante con aire acondicionado ó al aire libre

🏝️Acceso a todas las instalaciones.

🍽 Almuerzo a la carta *(8 opciones disponibles)*
1. *Filete de pescado (CORVINA) apanado*
Arroz de coco, ensalada (mixta), patacones
2. *Pescado frito*
Arroz de coco, ensalada (mixta), patacones
3. *Pechuga a la plancha*
Arroz blanco, ensalada (mixta), tajadas de platanos maduro
4. *Risotto de Camarones*
5. *Pasta vegetariana*
Vegetales salteados
6. *Pasta Boloñesa*
Tipo de pasta penne. 
7. *Nuggets de pollo* 
Acompañado con Papas francesa
8. *Pizza*
Hawaiana, Jamón y champiñones

*(acompañado con su bebida no alcohólica)*

🚿 Ducha *(agua dulce)*

🧺 Servicio de toallas

🎧 DJ (Todos los días)

🏄🏻‍♂️ Uso de *kayaks*, *Paddleboards*.

🚲 Paseo en bicicleta para conocer la isla.

********************************
********************************
*NO ESTAN INCLUIDOS*

IMPUESTO DE PARQUES NACIONALES NATURALES *$13.500 COP* por persona *(pago estrictamente en efectivo)*

Actividades adicionales *(no mencionadas anteriormente)*
********************************
********************************

⏰Hora de llegada a la *MARINA TODOMAR BOCAGRANDE :* 7:30 A.M

*Hora de retorno aprox a Cartagena:* 3:00 P.M",En el muelle todomar ,25000,390000,111, $404.227,"traslado en lancha, copa de champañe, cama de playa o asoleadora, almuerzo gourmet 8 opciones, dj en vivo, kayaks, snorkeling, ducha agua dulce, toallas ",3012151078,❇ Tipo de Identificación:,No hay Restriccion
Paue ,7:20am,3pm,"paue Islas del Rosario – Cartagena

📍 Punto de partida: Muelle La Bodeguita – Puerta #4
⏰ Presentarse a las 7:15 a.m.
💰 Pago de tasa portuaria: $40.000 COP (no incluida)

⸻

🛥️ INCLUYE

✨ Transporte marítimo en bote deportivo de lujo
💧 Botella de agua al abordar
🎶 Música durante todo el recorrido
🥂 Copa de champaña de bienvenida
🏝️ Tour panorámico por las Islas del Rosario (opcional)

🍽️ Almuerzo – 4 opciones a elegir:

• Típico isleño (pescado frito)
• Pechuga a la plancha
• Arroz cremoso con camarones
• Opción vegetariana
🥤 Incluye bebida (agua o Coca-Cola)

🌴 Acceso a instalaciones:

• Sillas asoleadoras
• Hamacas
• Camas de playa
• Paddle board",En el muelle la bodeguita puerta 4,40000,460000,125, $455.211,"Transporte maritimo, copa champagne, tour panoramico por las islas, almuerzo, sillas asoleadoras actividad de paddle board y kayak.",3008720349,❇ Numero de Identificación:,No hay Restriccion
Palmarito beach ,8:00am,3pm,"🌴 PALMARIO BEACH – TIERRA BOMBA 🌴  
Pasadía

Incluye:
• Transporte en lancha ida y regreso (salida desde la Playa del Nuevo Hospital de Bocagrande)  
• Cóctel de bienvenida  
• Almuerzo tipo buffet  
• Uso de todas las instalaciones  
• Camas y sillas asoleadoras  
• Kioscos de palma (según disponibilidad)  
• Piscina  
• Parque infantil  
• Zona de hamacas  

✨ Servicio de decoración en cama asoleadora (valor adicional)

Horarios de salida:  
🕗 Entre 8:00 a.m. y 11:00 a.m.  

Regreso:  
🕞 3:30 p.m.",Detras del hospital de bocagrande,0,350000,71, $258.560,"Transporte en lancha desde bocagrande a tierra bomba, almuerzo tipo buffet, playa publica con sillas playeras piscina de adulto y niños, kayak y paddlet surf ",3004223695,❇ Nombre del Hotel:,No hay Restriccion
Luxury beach ,7:30am ,3pm ,"✨🌴 LUXURY OPEN BAR – AMBIENTE BEACH 🌴✨
💰 $420.000 COP por persona

Vive un día exclusivo frente al mar con servicio premium, ambiente tropical y barra libre ilimitada.

━━━━━━━━━━━━━━━━━━━
🌊 INCLUYE
━━━━━━━━━━━━━━━━━━━

🚤 Transporte en lancha tipo TRITÓN (ida y vuelta)

🍹 Barra abierta nacional ilimitada:
Shot de licor · Cerveza del día · Piña Colada · Coco Loco · Margarita · Gin Tonic · Tequila Sunrise · Caipiriña · Caipiroska · Cuba Libre · Mojito (Cóctel & Mocktail) · Daiquiri (Cóctel & Mocktail) · Agua · Gaseosa

🍸 Servicio en la barra

🏖️ Parasol + Asoleadora playera

🍽️ 4 opciones de almuerzo

🐠 Opcional: Recorrido panorámico con parada en el Oceanario

🚿 Ducha en la playa (llevar toalla)

━━━━━━━━━━━━━━━━━━━
📍 PUNTO DE ENCUENTRO
Muelle La Bodeguita – Puerta #4
⏰ Hora: 7:30 AM

⚠️ La reserva se garantiza hasta las 8:20 AM

━━━━━━━━━━━━━━━━━━━
❌ NO INCLUYE
Tasa portuaria · Entrada al Oceanario · Toalla · Productos y actividades no especificadas en el plan",En el muelle la bodeguita puerta 4,40000,420000,120, $437.002,"Transporte en lancha deportiva, coctel de bienvenida, barra libre de bebidas alcohólicas, almuerzo 3 opciones, traslado al oceanario.",3104605229,❇ Fecha del tour:,No hay Restriccion
Islabela ,7:30am,3pm,"🌴 Descubre nuestra Experiencia en Islabela 🔆:
 

Traslado marítimo desde Cartagena con una lancha deportiva.

• Un refrescante cóctel de bienvenida 🍹.

• Disfruta de un auténtico almuerzo típico caribeño

• Relájate en nuestras lujosas sillas con sombrilla o en nuestras camas de playa 🏖.

• Acceso libre para explorar y disfrutar de todas las instalaciones.

 

Tu experiencia incluye:
 

– Transporte 🚤 ida y regreso (50 min)
con salida desde el Muelle de la Bodeguita~Puerta #3.
– Bebida de Bienvenida.
– Almuerzo (Pescado, Pollo u opción Vegetariana).
– Uso de las instalaciones.
– Restaurante.
– Baños (no duchas).
– Traslado al Oceanario (opcional, entrada no incluida).
– Uso de Kayak (sujeto a disponibilidad~Solicitar en Recepcion)
– Clases de Yoga (sábados, domingos y festivos).",En el muelle la bodeguita puerta 4,40000,390000,111, $404.227,"Transporte en lancha deportiva, coctel debienvenida, almuerzo, uso de las instalaciones, traslado opcional al oceanario uso de kayak, clases de yoga ",3168800820,❇ Numero de personas:,No hay Restriccion
Isla mucura ,5:30am,3pm,"🐚🪸_*PASADIA ISLA MÚCURA- TINTIPAN- SANTA CRUZ DEL ISLOTE
 🐟*_

Valor $320 Mil pesos colombianos 

( SALIDA DESDE CARTAGENA DESDE EL  MUELLE LA BODEGUITA.) 

Haciendo parte del archipiélago de San Bernardo, Múcura  ofrece un mágico paraiso envuelto en sus aguas azul turqueza, brinda tranquilidad y unión con la naturaleza, Disfrutar es un placer!! Déjate llevar por la magia del mar caribe y disfruta de un merecido descanso en un ambiente de tranquilidad.

 Salida: *Todos los dias*


🧑‍🔧 Guía abordo

  🚎 Recogida en el hotel(Solo zonas de Bocagrande, castillo grande, laguito y Marbella) hasta el Muelle de la Bodeguita.

⏰ *Horarios de recogida*
Bocagrande, castillo grande y laguito y marbella a partir de las 5:30 a.m.

🍍🥭🥥Snack AM antes del embarque (ensalada de fruta).
 
🚤 Abordamos para comenzar el recorrido por Islas del Rosario y Archipiélago:

🏖_PARADA 1_:  Isla Tintipan. (tiempo en la isla de 1 horas aproximadamente)
🏖_PARADA 2_:  solo panorámico en Casa en el Agua.
🏖_PARADA 3_: en Islote Santa Cruz,  la isla mas pequeña y mas densamente poblada de la tierra, donde encontrará un Oceanario artesanal (no incluye el costo de ingreso).
🏖_PARADA 4_: Isla Múcura, donde incluye coctel de bienvenida y almuerzo típico de la Costa.
🍽️Almuerzo Típico (Arroz con coco, Pescado o pollo, Ensalada) y su bebida acompañante



✅*🧢Recomendaciones🕶️:*  traer ropa cómoda, protector solar y zapatillas de playa.

🚫 No incluye tasa portuaria+ seguro de viaje valor $37.000 por persona.


🚤⏰El recorrido tiene una duración de aprox. 1h30min-2 h

*Retorno a Cartagena*

La salida del hotel será a las  1:30pm- 2:20pm(según condiciones climáticas) de la isla para regresar a Cartagena  de 4:30 p.m.  a 5:00 p.m. llegando al muelle de la Bodeguita, dando fin al servicio.


*PARA TENER EN CUENTA*

✅Nuestro servicio está sujeto a condiciones climáticas y/o mandatos de las autoridades marítimas del momento.
✅se debe realizar la reserva de pasadía preferiblemente el día que realiza su reserva o adquiere el servicio con el 50% de anticipo.

✅Las cancelaciones del servicio deberán ser solicitadas con 24 horas o más de anticipación al día del viaje, recuperando el 70% de devolución. (fuera de ese rango de tiempo no aplican devoluciones).  
 
✅Todo niño de 3 años a 6 años,  paga tarifa especial y debe ir acompañado por un adulto. (de 7 años en adelante paga tarifa completa). 

✅Esta prohibido el ingreso de alimentos , bebidas y equipos de sonido que afecten la tranquilidad de la operación. 


🆘No incluye Seguro de Viaje.
","Recogida en el hotel, Solo Bocagrande, Laguito, Castillo grande, Marbella",40000,320000,,,,3043499318,❇ E-mail:,
Sabai ,7:20am,3:00pm,"🔆 *SABAI MARÍTIMO*


*🎉IMPUESTO DE SALIDA INCLUIDO*🎉*

📍Lugar de encuentro: 
Marina privada *TODOMAR* de Bocagrande.

✅️ INCLUYE:

🚤 Transporte en la lancha compartida ida y regreso.

💧Una botella de agua abordo

🏰 Panorámico en El Fuerte de Bocachica

🏝️ Panorámico por la península de Barú y Cholon

🍭 Paleta de frutas de la región  de bienvenida. 

⛱️ Cama de playa

✅ *Opción* Disfruta de un baño refrescante en Isla del Rosario de 30 minutos.

🍽️ Almuerzo a la carta *(14 opciones)* acompañado con una botella de agua / Coca Cola / Sprite. 

🏄🏻‍♂️ Actividades de Kayak y paddleboard.

🏐Voleibol

🏸 Raquetas de playa.

☕️ Café ilimitado 

🛜 Wifi en todas las instalaciones 

🏊🏼‍♂️ Acceso a Piscina

🚿 Ducha de Agua Dulce

👝 Servicio de Toalla

🎧 Dj en vivo *(Sábados y Domingos)* 

*******************
******************
🚫 *No incluye servicios no especificados*
****************
**********************

⏰️ Hora de encuentro: 
 *7:20 a.m.* 
Regreso: *3:00 p.m* . (sujeto a cambios climáticos).",En muelle TodoMar,250000,470000,,,,,❇ Numero de contacto:,
Alejandria Island,7:30am,3pm,"🌴 Descubre nuestra Experiencia en Alenadria 🔆:
 

Traslado marítimo desde Cartagena con una lancha deportiva.

• Un refrescante cóctel de bienvenida 🍹.

• Disfruta de un auténtico almuerzo típico caribeño

• Relájate en nuestras lujosas sillas con sombrilla o en nuestras camas de playa 🏖.

• Acceso libre para explorar y disfrutar de todas las instalaciones.

 

Tu experiencia incluye:
 

– Transporte 🚤 ida y regreso (50 min)
con salida desde el Muelle de la Bodeguita~Puerta #3.
– Bebida de Bienvenida.
– Almuerzo (Pescado, Pollo u opción Vegetariana).
– Uso de las instalaciones.
– Restaurante.
– Baños (no duchas).
– Traslado al Oceanario (opcional, entrada no incluida).
– Uso de Kayak (sujeto a disponibilidad~Solicitar en Recepcion)
– Clases de Yoga (sábados, domingos y festivos).",En el muelle la bodeguita puerta 4,40000,390000,111, $404.227,"Transporte en lancha deportiva, coctel debienvenida, almuerzo, uso de las instalaciones, traslado opcional al oceanario uso de kayak, clases de yoga ",573044848791,❇ Numero de personas:,No hay Restriccion
